iter	Passed	Remaining
755	12360	3989
756	12379	3973
757	12394	3957
758	12411	3940
759	12426	3924
760	12444	3908
761	12460	3892
762	12479	3876
763	12500	3861
764	12527	3848
765	12554	3835
766	12595	3826
767	12612	3810
768	12628	3793
769	12643	3776
770	12659	3760
771	12675	3743
772	12690	3726
773	12706	3710
774	12741	3699
775	12763	3684
776	12790	3670
777	12813	3656
778	12829	3639
779	12844	3622
780	12860	3606
781	12877	3589
782	12893	3573
783	12909	3556
784	12925	3540
785	12940	3523
786	12958	3507
787	12973	3490
788	12990	3474
789	13005	3457
790	13020	3440
791	13035	3423
792	13051	3406
793	13066	3389
794	13081	3373
795	13096	3356
796	13111	3339
797	13128	3323
798	13145	3306
799	13161	3290
800	13176	3273
801	13192	3257
802	13208	3240
803	13223	3223
804	13239	3207
805	13255	3190
806	13270	3173
807	13285	3156
808	13301	3140
809	13319	3124
810	13339	3108
811	13356	3092
812	13373	3076
813	13389	3059
814	13406	3043
815	13424	3027
816	13452	3013
817	13477	2998
818	13500	2983
819	13518	2967
820	13534	2950
821	13554	2935
822	13571	2918
823	13588	2902
824	13605	2885
825	13620	2869
826	13636	2852
827	13657	2837
828	13675	2820
829	13691	2804
830	13707	2787
831	13722	2770
832	13738	2754
833	13754	2737
834	13771	2721
835	13786	2704
836	13801	2687
837	13818	2671
838	13833	2654
839	13851	2638
840	13868	2621
841	13885	2605
842	13905	2589
843	13921	2573
844	13938	2556
845	13953	2540
846	13969	2523
847	13984	2506
848	14000	2489
849	14015	2473
850	14032	2456
851	14048	2440
852	14066	2424
853	14081	2407
854	14097	2390
855	14113	2374
856	14129	2357
857	14145	2341
858	14161	2324
859	14181	2308
860	14197	2292
861	14212	2275
862	14229	2258
863	14249	2242
864	14265	2226
865	14280	2209
866	14296	2193
867	14311	2176
868	14326	2159
869	14342	2143
870	14358	2126
871	14378	2110
872	14396	2094
873	14411	2077
874	14427	2061
875	14443	2044
876	14460	2028
877	14475	2011
878	14491	1994
879	14506	1978
880	14522	1961
881	14537	1944
882	14552	1928
883	14568	1911
884	14584	1895
885	14600	1878
886	14616	1862
887	14631	1845
888	14648	1828
889	14665	1812
890	14680	1795
891	14696	1779
892	14713	1763
893	14729	1746
894	14745	1729
895	14760	1713
896	14776	1696
897	14792	1680
898	14807	1663
899	14822	1646
900	14838	1630
901	14854	1613
902	14869	1597
903	14885	1580
904	14902	1564
905	14917	1547
906	14932	1531
907	14948	1514
908	14964	1498
909	14979	1481
910	14994	1464
911	15009	1448
912	15025	1431
913	15040	1415
914	15056	1398
915	15071	1382
916	15087	1365
917	15103	1349
918	15119	1332
919	15134	1316
920	15151	1299
921	15166	1283
922	15182	1266
923	15198	1250
924	15216	1233
925	15232	1217
926	15248	1200
927	15263	1184
928	15279	1167
929	15294	1151
930	15309	1134
931	15325	1118
932	15341	1101
933	15357	1085
934	15371	1068
935	15387	1052
936	15403	1035
937	15419	1019
938	15435	1002
939	15450	986
940	15466	969
941	15482	953
942	15498	936
943	15515	920
944	15531	903
945	15547	887
946	15562	870
947	15578	854
948	15593	838
